762;191205;YieldMAX PL\20L;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
763;500668;CC-500-WS \ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
764;500670;CC-500-WS \ 25KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
765;501091;F-LC 50x25g\100kg;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
766;501095;T-SPX 50x25g\100kg;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
767;502987;BC-200-WSS \ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
768;502988;BC-200-WSS\ 25 kg;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
769;600870;FD-DVS YC-X11\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
770;612876;CA-68,000D-WS-P \ 25KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
771;614038;FD-DVS YC-X16\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
772;619121;Vegex NC 2c WS mct \ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
773;621195;SM-182 50x25g\100kg;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
774;662417;ANNATTO A-200 \JUG 15 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
775;662445;CARMINE 5% LIQUID \JUG  25KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
776;662502;STRAWBERRY RED G-391 SACK 25 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
777;667330;FD-DVS YF-L811\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
778;667331;FD-DVS YF-L811\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
779;704875;F-DVS ST-M6\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
780;677350;FD-DVS YF-L812\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
781;677650;FD-DVS YF-L812\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
782;683824;LiquidCap CC-5-WSS-100 \ 15KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
783;685530;FD-DVS ABY-10\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
784;688361;BP-30 25 kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
785;689408;MicroCap P-21-WSS-P-125-500\ 5 kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
786;689562;FD-DVS YF-L903\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
787;690639;FD-DVS YF-L903\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
788;704759;F-DVS CHN-22\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
789;691605;COLOR RED 990-E1/ SACK 25 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
790;692567;CapColors T-15-WSS-P-500\ 10KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
791;704826;F-DVS Nu-Trish a/B™\10X500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
792;697993;FD-DVS STI-12\25x200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
793;698000;FD-DVS STI-14\25x200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
794;698038;AT - 3020 -OSS / 4 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
795;698327;MOLD-600 25x50g\50L;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
796;698414;ColorFruit Yellow 300 WS\ 25 KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
797;698679;CARMINE CHR3-015/ 25 KG SACK;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
798;689545;F-ES A980\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
799;700132;BFL-F04 50x25g\200kg;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
800;700589;Colorfruit Yellow 300 WS-TCCC\ 25 KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
801;702933;FD-DVS DCC-290\20X350U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
802;703028;FD-DVS YoFlex Mild 1.0\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
803;703082;FD-DVS RSF-736\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
804;703235;C. VALENTINA SAUCE CHRN2-218\15KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
805;703617;B-LC-007 25x50g\225kg;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
806;703725;ColorFruit Bordeaux 104 WSP \ 15KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
807;703726;ColorFruit Yellow 400 WSS \ 15KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
808;703884;BC 100 YS WSP\5 kg;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
809;704059;FruitMax Starfruit Bright WS\10KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
810;704363;T-050\20 kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
811;704822;F-DVS BB-12\10X500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
812;707656;F-ES A986\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
813;710317;F-DVS CR-BOUQUET01\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
814;704824;F-DVS L. casei 431\10X500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
815;704873;F-DVS TCC-20\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
816;666284;F-ES A940\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
817;704647;F-DVS RSF-638\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
818;703006;F-DVS YoFlex Classic 1.0\12X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
819;691292;F-ES A990\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
820;708649;F-ES FLORA™ C150\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
821;705437;STRAWBERRY RED CHRN3-297\20KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
822;705697;Carthamus Liquid\10KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
823;706146;FD-DVS nu-trish BB-12\20X25g;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
824;694905;F-ES A2045\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
825;702490;F-ES C120\12X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
826;707832;CO-2.4-WS-GL-AP-TCCC\20KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
827;707835;Vegex NC 2c WS mct-TCCC\25KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
828;708256;FD-DVS FreshQ 4\20X500U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
829;708602;FD-DVS FreshQ 4\25X100U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
830;708650;F-ES FLORA™ C160\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
831;710999;F-DVS FreshQ 5\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
832;709098;CA-50.000D-WS \ 10 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
833;673781;F-ES A955\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
834;705304;F-DVS YoFlex Premium 2.0\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
835;713477;FD-DVS R-704\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
836;713487;FD-DVS R-707\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
837;713492;FD-DVS CHN-22\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
838;713493;FD-DVS FLORA DANICA\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
839;713497;FD-DVS TCC-3\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
840;713498;FD-DVS TCC-20\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
841;713499;FD-DVS YC-180\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
842;713506;FD-DVS YC-X11\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
843;713512;FD-DVS YF-L811\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
844;713513;FD-DVS YF-L812\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
845;713515;FD-DVS YF-L903\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
846;713581;FD-DVS R-708\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
847;713582;FD-DVS CHN-19\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
848;713589;FD-DVS ABY-1\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
849;713590;FD-DVS TCC-4\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
850;713617;FD-DVS YoFlex Mild 1.0\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
851;713618;FD-DVS RSF-742\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
852;713841;Colorfruit Yellow 300 WS-TCCC\ 220KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
853;714793;F-DVS FreshQ 5\20x100U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
854;714958;Annatto A-400\4 x 3.4 Kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
855;714959;Annatto A-200\4 x 3.4Kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
856;714980;Annatto A-200 L\4x3.4 Kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
857;715333;Turmeric PD-101\25 LB;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
858;715354;Achiote CHRN2-207\20 Kg;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
859;200116;F-DVS CHN-12\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
860;660655;F-DVS YF-LX700\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
861;660656;F-DVS YF-LX701\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
862;685135;F-DVS YF-L705\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
863;685141;F-DVS YF-L706\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
864;685142;F-DVS YF-L901\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
865;685143;F-DVS YF-L902\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
866;701788;F-DVS DN SYNERGY-1\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
867;706931;F-DVS DN ALPHA-1\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
868;708951;F-DVS DN WHITE-2\500g;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
869;500786;CC-5000-WS-P\ 5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
870;601412;AC 12r WSP \ 15KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
871;669564;CSP-2\5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
872;675780;CHR-30/D  5 KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
873;678057;Annatto 15 WSP\10 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
874;687025;COLORFRUIT CARROT 9 WS \ 25 KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
875;701915;ColorFruit Red 110 WS\ 13 KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
876;702910;ColorFruit Magenta 115 WSP\15 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
877;703733;ColorFruit Red 121 WS \ 25KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
878;703739;ColorFruit Red 122 WSP \ 15KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
879;706368;JuiceMax Aronia 300 WS\20KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
880;706541;AC 12r WSP - TCCC\15 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
881;714745;CC-5000-WS-P-TCCC\5KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
882;218000;T-95-OS-P \ 15KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
883;503540;WATER SOLUBLE CARMINE/ANNATTO POWDE;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
884;619514;Water Soluble Annatto \ 20KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
885;623774;Water Soluble Annatto A-1000-WS \ 20KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
886;677506;Tumeric color WS / 5 KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
